---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:31:55 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 36
capture.afpacket.polls                                       | Total                     | 488
capture.afpacket.poll_timeout                                | Total                     | 454
capture.afpacket.poll_data                                   | Total                     | 34
decoder.pkts                                                 | Total                     | 37
decoder.bytes                                                | Total                     | 5628
decoder.ipv4                                                 | Total                     | 4
decoder.ipv6                                                 | Total                     | 31
decoder.ethernet                                             | Total                     | 37
decoder.arp                                                  | Total                     | 2
decoder.udp                                                  | Total                     | 30
decoder.icmpv6                                               | Total                     | 5
decoder.avg_pkt_size                                         | Total                     | 152
decoder.max_pkt_size                                         | Total                     | 215
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 5
flow.udp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 5
app_layer.flow.mdns                                          | Total                     | 1
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 23
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:32:03 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1673
capture.afpacket.polls                                       | Total                     | 1279
capture.afpacket.poll_timeout                                | Total                     | 1155
capture.afpacket.poll_data                                   | Total                     | 124
decoder.pkts                                                 | Total                     | 1673
decoder.bytes                                                | Total                     | 5526960
decoder.ipv4                                                 | Total                     | 1634
decoder.ipv6                                                 | Total                     | 33
decoder.ethernet                                             | Total                     | 1673
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 1624
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 1
tcp.rst                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 38
decoder.icmpv6                                               | Total                     | 5
decoder.avg_pkt_size                                         | Total                     | 3303
decoder.max_pkt_size                                         | Total                     | 57986
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 7
flow.active                                                  | Total                     | 7
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 4
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 5
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
